,predicted_Demography and population,predicted_Labour market,predicted_Economy and national accounts,"predicted_Business, industry and trade","predicted_Agriculture, forestry and fisheries",predicted_Environment and climate,predicted_Energy,predicted_Transport and mobility,predicted_Health,predicted_Education and training,"predicted_Science, technology and digital society","predicted_Income, poverty and living conditions",predicted_Government and public finance,"predicted_Crime, justice and safety",predicted_Tourism,predicted_Housing and construction,predicted_Other or multidisciplinary
true_Demography and population,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
true_Labour market,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_Economy and national accounts,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"true_Business, industry and trade",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"true_Agriculture, forestry and fisheries",0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0
true_Environment and climate,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1
true_Energy,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
true_Transport and mobility,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1
true_Health,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0
true_Education and training,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0
"true_Science, technology and digital society",0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0
"true_Income, poverty and living conditions",0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,1
true_Government and public finance,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"true_Crime, justice and safety",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
true_Tourism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
true_Housing and construction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
true_Other or multidisciplinary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
