sample_id,term,normalized_term,predicted_category,confidence,reason,table_count,total_occurrences,sources,columns,gold_category,is_correct,notes
1,"At-risk-of poverty rate, male, rural,18-64 (%)","at-risk-of poverty rate, male, rural,18-64 (%)",measure,high,Matches a measure pattern and appears in a statistical-indicator column.,2,4,cell,Categorisation of active substances for harmonised risk indicator|Indicator used in Euro_Med,measure,yes,
2,"At-risk-of poverty rate, total (%)","at-risk-of poverty rate, total (%)",measure,high,Matches a measure pattern and appears in a statistical-indicator column.,2,4,cell,Categorisation of active substances for harmonised risk indicator|Indicator used in Euro_Med,measure,yes,
3,Monthly earnings by quantiles and contractual working time enterprises with 10 employed persons or more - NACE Rev. 2 B-S excluding O,monthly earnings by quantiles and contractual working time enterprises with 10 employed persons or more - nace rev. 2 b-s excluding o,measure,medium,Appears only in residual statistical table titles.,2,2,title,title,measure,yes,
4,Women aged 18-59 living in jobless households: share of women aged 18-59 who are living in households where no-one works,women aged 18-59 living in jobless households: share of women aged 18-59 who are living in households where no-one works,measure,high,Matches a measure pattern and appears in a statistical-indicator column.,1,36,cell,Employment indicator,measure,yes,
5,Share of national imports in world imports (%),share of national imports in world imports (%),measure,high,Matches a measure pattern and appears in a statistical-indicator column.,1,10,cell,External trade indicator,measure,yes,
6,"Net economic activity rate, male, 15-64 (%)","net economic activity rate, male, 15-64 (%)",measure,high,Matches a measure pattern and appears in a statistical-indicator column.,1,8,cell,Indicator used in Euro_Med,measure,yes,
7,"School completion rate at ISCED 1, female (%)","school completion rate at isced 1, female (%)",measure,high,Matches a measure pattern and appears in a statistical-indicator column.,1,8,cell,Indicator used in Euro_Med,measure,yes,
8,Frequency of ozone peaks (Number),frequency of ozone peaks (number),measure,high,Predominantly appears exclusively in statistical measure columns.,1,2,cell,Indicator used in Euro_Med,measure,yes,
9,Ever-partnered women who have experienced violence by an intimate partner by person/support service to whom violence was reported,ever-partnered women who have experienced violence by an intimate partner by person/support service to whom violence was reported,measure,medium,Appears only in residual statistical table titles.,1,1,title,title,measure,yes,
10,General government total expenditure on law courts,general government total expenditure on law courts,measure,medium,Matches a measure pattern and appears in a title or mixed statistical context.,1,1,title,title,measure,yes,
11,Gross domestic expenditure on R&D GERD,gross domestic expenditure on r&d gerd,measure,medium,Matches a measure pattern and appears in a title or mixed statistical context.,1,1,title,title,measure,yes,
12,Hours spent in CVT courses by size class - hours per person employed in enterprises providing CVT courses,hours spent in cvt courses by size class - hours per person employed in enterprises providing cvt courses,measure,medium,Appears only in residual statistical table titles.,1,1,title,title,measure,yes,
13,Labour input - total industry excluding construction,labour input - total industry excluding construction,measure,medium,Matches a measure pattern and appears in a title or mixed statistical context.,1,1,title,title,measure,yes,
14,Livestock in number of heads,livestock in number of heads,measure,medium,Matches a measure pattern and appears in a title or mixed statistical context.,1,1,title,title,measure,yes,
