domain,measure_count,average_score,high_confidence_count,medium_confidence_count,low_confidence_count
Other or multidisciplinary,508,0.0183,0,0,508
Labour market,248,0.2096,243,5,0
"Income, poverty and living conditions",193,0.4546,191,2,0
Economy and national accounts,180,0.2068,88,80,12
Education and training,165,0.2933,157,7,1
"Business, industry and trade",163,0.2266,95,65,3
Transport and mobility,162,0.2529,125,36,1
Demography and population,121,0.198,32,86,3
"Crime, justice and safety",74,0.1537,67,7,0
"Science, technology and digital society",60,0.2192,52,6,2
Environment and climate,57,0.1377,53,3,1
"Agriculture, forestry and fisheries",56,0.1913,36,16,4
Government and public finance,55,0.2348,52,3,0
Health,55,0.1487,38,15,2
Housing and construction,51,0.1723,50,1,0
Energy,41,0.286,19,19,3
Tourism,30,0.3778,26,2,2
