term,normalized_term,category,confidence,reason,table_count,total_occurrences,header_table_count,title_table_count,cell_table_count,unit_context_table_count,measure_context_table_count,generic_context_table_count,unit_only_table_count,measure_only_table_count,generic_only_table_count,mixed_context_table_count,unit_lexical_match,measure_lexical_match,sources,columns
Total,total,measure,high,Matches a measure pattern and appears in a statistical-indicator column.,717,99274,0,0,717,1,2,715,0,2,714,1,False,True,cell,Accident|Activity and employment status|Age class|Age of the child|Agricultural area|Amenities|Aquatic environment|Arable land area|At risk of poverty - Yes/No|At risk of poverty or social exclusion - Yes/No|Basic classes of goods in the System of National Accounts (SNA) in terms of Broad Economic Categories (BEC)|Categories of navigable inland waterways by horizontal dimensions of vessels and pushed convoys|Categorisation of active substances for harmonised risk indicator|Category of voters|Change|Classification of individual consumption by purpose (COICOP)|Client specialisation|Client/Trader|Control over working time|Country of citizenship|Country of destination|Country of residence|Cross border trade|Decision|Degree of urbanisation|Direction of flow|Duration|Education or training field|Engine capacity of vehicle|Engine power|Enterprise|Entity|Expenditure and investment|Farm type|Financial source|Fishing gears|Frequency|Fruit species and groups of varieties|Geopolitical entity (partner)|Geopolitical entity (reporting)|Health care|Health problems|Household composition|Income quantile|Income situation in relation to the risk of poverty threshold|Indicator|International Standard Classification of Occupations 2008 (ISCO-08)|International Standard Classification of Occupations for European Union purposes (ISCO-88 (COM))|International Statistical Classification of Diseases and Related Health Problems (ICD-10 2010)|Kind of business partners|Legal form|Legal type of the holding|Level|Level of activity limitation|Main expenditure type|Maritime entity (partner)|Materials|Means of goods and services supply|Means testing|Media|Migration status|Modalities of the variable for the ad-hoc module|Mode of accommodation|Monetary value by size class|Motor energy|Nationality of registration of vessel|Number of children|Number of tracks|Operator/Trader|Other gainful activity of the holder|Other gainful activity of the spouse|Part of body injured|Pension type|Place of residence|Plantation density|Power asymmetry|Professional position|Purchases|Purpose|Quantile|Reason|Risk of poverty threshold|Sea basins|Seniority category|Severity (days lost)|Sex|Size classes in number of employees|Size classes in number of members|Size classes in number of persons employed|Size classes in percentage|Size of accommodation by number of bedplaces|Size of tourism establishments by number of rooms|Smoking behaviour|Sourcing activity|Standard international energy product classification (SIEC)|Standard output in Euros|Statistical information|Stock or flow|Tenure status|Territorial typology|Train category|Training|Transport infrastructure|Type of building|Type of cargo|Type of consignment|Type of employment contract|Type of household|Type of issuer|Type of level crossing|Type of mortality|Type of schedule|Type of seat/berth|Type of transport|Type of vessel|Type of withdrawal|Unit of measure|Vehicles|Weight|Work intensity|Working time|Workstation|Year of construction|age|aquaenv|diagnose|isced11|lev_limit|n_activ|n_child|n_hprob|n_injury|n_person|n_room|n_vehicl|n_vessel|nace_r1|partner|sizeclas|tra_cov|yn_arope
Train traffic on the rail network,train traffic on the rail network,measure,medium,Appears only in residual statistical table titles.,74,74,0,74,0,0,0,0,0,0,0,0,False,False,title,title
Average,average,measure,high,Matches a measure pattern and appears in a statistical-indicator column.,22,2716,0,0,22,7,15,1,6,15,0,1,False,True,cell,Categorisation of active substances for harmonised risk indicator|Statistical information|Unit of measure
At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),at risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),measure,high,Matches a measure pattern and appears in a statistical-indicator column.,20,2028,0,0,20,0,19,1,0,19,1,0,False,True,cell,Categorisation of active substances for harmonised risk indicator|Income and living conditions indicator
Enterprises - number,enterprises - number,measure,high,Predominantly appears exclusively in statistical measure columns.,15,4232,0,0,15,0,14,1,0,14,1,0,False,False,cell,Categorisation of active substances for harmonised risk indicator|Economical indicator for structural business statistics|Geopolitical entity (reporting)
Turnover or gross premiums written - million euro,turnover or gross premiums written - million euro,measure,high,Matches a measure pattern and appears in a statistical-indicator column.,12,2716,0,0,12,0,11,1,0,11,1,0,True,True,cell,Categorisation of active substances for harmonised risk indicator|Economical indicator for structural business statistics
Median equivalised income,median equivalised income,measure,high,Matches a measure pattern and appears in a statistical-indicator column.,10,2382,0,0,10,1,9,1,0,9,0,1,False,True,cell,Categorisation of active substances for harmonised risk indicator|Statistical information|Unit of measure
Median,median,measure,high,Matches a measure pattern and appears in a statistical-indicator column.,10,1482,0,0,10,1,2,8,0,2,7,1,False,True,cell,Categorisation of active substances for harmonised risk indicator|Quantile|Statistical information|Unit of measure
Net turnover,net turnover,measure,high,Matches a measure pattern and appears in a statistical-indicator column.,9,1019,0,0,9,0,9,0,0,9,0,0,False,True,cell,Business trend indicator
Production (volume),production (volume),measure,high,Matches a measure pattern and appears in a statistical-indicator column.,9,896,0,0,9,0,9,0,0,9,0,0,False,True,cell,Business trend indicator
