term,normalized_term,category,confidence,reason,table_count,total_occurrences,header_table_count,title_table_count,cell_table_count,unit_context_table_count,measure_context_table_count,generic_context_table_count,unit_only_table_count,measure_only_table_count,generic_only_table_count,mixed_context_table_count,unit_lexical_match,measure_lexical_match,sources,columns
Time frequency,time frequency,dimension_name,high,Predominantly appears as a descriptive table header.,7604,7604,7604,0,0,0,0,0,0,0,0,0,False,False,header,Time frequency
Geopolitical entity (reporting),geopolitical entity (reporting),dimension_name,high,Predominantly appears as a descriptive table header.,6773,6773,6773,0,0,0,0,0,0,0,0,0,False,False,header,Geopolitical entity (reporting)
Unit of measure,unit of measure,dimension_name,high,Predominantly appears as a descriptive table header.,6339,6339,6339,0,0,0,0,0,0,0,0,0,False,False,header,Unit of measure
Sex,sex,dimension_name,high,Predominantly appears as a descriptive table header.,2723,2723,2723,0,0,0,0,0,0,0,0,0,False,False,header,Sex|sex
Age class,age class,dimension_name,high,Predominantly appears as a descriptive table header.,2397,2397,2397,0,0,0,0,0,0,0,0,0,False,False,header,Age class
Statistical classification of economic activities in the European Community (NACE Rev. 2),statistical classification of economic activities in the european community (nace rev. 2),dimension_name,high,Predominantly appears as a descriptive table header.,1007,1007,1007,0,0,0,0,0,0,0,0,0,False,False,header,Statistical classification of economic activities in the European Community (NACE Rev. 2)
International Standard Classification of Education (ISCED 2011),international standard classification of education (isced 2011),dimension_name,high,Predominantly appears as a descriptive table header.,564,564,564,0,0,0,0,0,0,0,0,0,False,False,header,International Standard Classification of Education (ISCED 2011)
Size classes in number of employees,size classes in number of employees,dimension_name,high,Predominantly appears as a descriptive table header.,540,540,540,0,0,0,0,0,0,0,0,0,False,True,header,Size classes in number of employees
Statistical classification of economic activities in the European Community (NACE Rev. 1.1),statistical classification of economic activities in the european community (nace rev. 1.1),dimension_name,high,Predominantly appears as a descriptive table header.,461,461,461,0,0,0,0,0,0,0,0,0,False,False,header,Statistical classification of economic activities in the European Community (NACE Rev. 1.1)
geo\TIME_PERIOD,geo\time_period,dimension_name,high,Predominantly appears as a descriptive table header.,375,375,375,0,0,0,0,0,0,0,0,0,False,False,header,geo\TIME_PERIOD
Activity and employment status,activity and employment status,dimension_name,high,Predominantly appears as a descriptive table header.,372,372,372,0,0,0,0,0,0,0,0,0,False,True,header,Activity and employment status
Country of citizenship,country of citizenship,dimension_name,high,Predominantly appears as a descriptive table header.,326,326,326,0,0,0,0,0,0,0,0,0,False,False,header,Country of citizenship
Geopolitical entity (partner),geopolitical entity (partner),dimension_name,high,Predominantly appears as a descriptive table header.,288,288,288,0,0,0,0,0,0,0,0,0,False,False,header,Geopolitical entity (partner)
Economical indicator for structural business statistics,economical indicator for structural business statistics,dimension_name,high,Predominantly appears as a descriptive table header.,282,282,282,0,0,0,0,0,0,0,0,0,False,False,header,Economical indicator for structural business statistics
Seasonal adjustment,seasonal adjustment,dimension_name,high,Predominantly appears as a descriptive table header.,258,258,258,0,0,0,0,0,0,0,0,0,False,False,header,Seasonal adjustment
National accounts indicator (ESA 2010),national accounts indicator (esa 2010),dimension_name,high,Predominantly appears as a descriptive table header.,239,239,239,0,0,0,0,0,0,0,0,0,False,False,header,National accounts indicator (ESA 2010)
Currency,currency,dimension_name,high,Predominantly appears as a descriptive table header.,233,64308,211,0,22,0,0,22,0,0,22,0,True,False,cell|header,Currency|National accounts indicator (ESA 2010)|currency
Degree of urbanisation,degree of urbanisation,dimension_name,high,Predominantly appears as a descriptive table header.,208,208,208,0,0,0,0,0,0,0,0,0,False,False,header,Degree of urbanisation
Stock or flow,stock or flow,dimension_name,high,Predominantly appears as a descriptive table header.,204,204,204,0,0,0,0,0,0,0,0,0,False,False,header,Stock or flow
unit,unit,dimension_name,high,Predominantly appears as a descriptive table header.,203,203,203,0,0,0,0,0,0,0,0,0,False,False,header,unit
Duration,duration,dimension_name,high,Predominantly appears as a descriptive table header.,198,198,198,0,0,0,0,0,0,0,0,0,False,True,header,Duration
Structure of earnings indicator,structure of earnings indicator,dimension_name,high,Predominantly appears as a descriptive table header.,188,188,188,0,0,0,0,0,0,0,0,0,False,False,header,Structure of earnings indicator
Reason,reason,dimension_name,high,Predominantly appears as a descriptive table header.,186,186,186,0,0,0,0,0,0,0,0,0,False,False,header,Reason
Country/region of birth,country/region of birth,dimension_name,high,Predominantly appears as a descriptive table header.,185,185,185,0,0,0,0,0,0,0,0,0,False,True,header,Country/region of birth
Information society indicator,information society indicator,dimension_name,high,Predominantly appears as a descriptive table header.,173,173,173,0,0,0,0,0,0,0,0,0,False,False,header,Information society indicator
Innovation indicator,innovation indicator,dimension_name,high,Predominantly appears as a descriptive table header.,163,163,163,0,0,0,0,0,0,0,0,0,False,False,header,Innovation indicator
International Standard Classification of Occupations 2008 (ISCO-08),international standard classification of occupations 2008 (isco-08),dimension_name,high,Predominantly appears as a descriptive table header.,153,153,153,0,0,0,0,0,0,0,0,0,False,False,header,International Standard Classification of Occupations 2008 (ISCO-08)
Working time,working time,dimension_name,high,Predominantly appears as a descriptive table header.,147,147,147,0,0,0,0,0,0,0,0,0,False,False,header,Working time
Sector,sector,dimension_name,high,Predominantly appears as a descriptive table header.,143,143,143,0,0,0,0,0,0,0,0,0,False,False,header,Sector
Level of activity limitation,level of activity limitation,dimension_name,high,Predominantly appears as a descriptive table header.,136,136,136,0,0,0,0,0,0,0,0,0,False,False,header,Level of activity limitation
Maritime entity (reporting),maritime entity (reporting),dimension_name,high,Predominantly appears as a descriptive table header.,127,127,127,0,0,0,0,0,0,0,0,0,False,False,header,Maritime entity (reporting)
Size classes in number of persons employed,size classes in number of persons employed,dimension_name,high,Predominantly appears as a descriptive table header.,127,127,127,0,0,0,0,0,0,0,0,0,False,True,header,Size classes in number of persons employed
International Standard Classification of Education (ISCED 1997),international standard classification of education (isced 1997),dimension_name,high,Predominantly appears as a descriptive table header.,126,126,126,0,0,0,0,0,0,0,0,0,False,False,header,International Standard Classification of Education (ISCED 1997)
Type of household,type of household,dimension_name,high,Predominantly appears as a descriptive table header.,126,126,126,0,0,0,0,0,0,0,0,0,False,False,header,Type of household
Frequency,frequency,dimension_name,high,Predominantly appears as a descriptive table header.,122,122,122,0,0,0,0,0,0,0,0,0,False,False,header,Frequency
Train category,train category,dimension_name,high,Predominantly appears as a descriptive table header.,121,121,121,0,0,0,0,0,0,0,0,0,False,False,header,Train category
Direction of flow,direction of flow,dimension_name,high,Predominantly appears as a descriptive table header.,118,118,118,0,0,0,0,0,0,0,0,0,False,False,header,Direction of flow
Individual type,individual type,dimension_name,high,Predominantly appears as a descriptive table header.,118,118,118,0,0,0,0,0,0,0,0,0,False,False,header,Individual type
Traffic and transport measurement,traffic and transport measurement,dimension_name,high,Predominantly appears as a descriptive table header.,118,118,118,0,0,0,0,0,0,0,0,0,False,False,header,Traffic and transport measurement
Business trend indicator,business trend indicator,dimension_name,high,Predominantly appears as a descriptive table header.,116,116,116,0,0,0,0,0,0,0,0,0,False,False,header,Business trend indicator
Agricultural area,agricultural area,dimension_name,high,Predominantly appears as a descriptive table header.,115,115,115,0,0,0,0,0,0,0,0,0,False,False,header,Agricultural area
Income and living conditions indicator,income and living conditions indicator,dimension_name,high,Predominantly appears as a descriptive table header.,113,113,113,0,0,0,0,0,0,0,0,0,False,True,header,Income and living conditions indicator
Income situation in relation to the risk of poverty threshold,income situation in relation to the risk of poverty threshold,dimension_name,high,Predominantly appears as a descriptive table header.,112,112,112,0,0,0,0,0,0,0,0,0,False,True,header,Income situation in relation to the risk of poverty threshold
Enterprise,enterprise,dimension_name,high,Predominantly appears as a descriptive table header.,106,106,106,0,0,0,0,0,0,0,0,0,False,False,header,Enterprise
Statistical information,statistical information,dimension_name,high,Predominantly appears as a descriptive table header.,105,105,105,0,0,0,0,0,0,0,0,0,False,False,header,Statistical information
Income quantile,income quantile,dimension_name,high,Predominantly appears as a descriptive table header.,104,104,104,0,0,0,0,0,0,0,0,0,False,True,header,Income quantile
Breakdown by type of innovator,breakdown by type of innovator,dimension_name,high,Predominantly appears as a descriptive table header.,102,102,102,0,0,0,0,0,0,0,0,0,False,False,header,Breakdown by type of innovator
Training,training,dimension_name,high,Predominantly appears as a descriptive table header.,100,67377,99,0,1,0,0,1,0,0,1,0,False,False,cell|header,Reason|Training|training
Country of destination,country of destination,dimension_name,high,Predominantly appears as a descriptive table header.,98,98,98,0,0,0,0,0,0,0,0,0,False,False,header,Country of destination
Maritime entity (partner),maritime entity (partner),dimension_name,high,Predominantly appears as a descriptive table header.,96,96,96,0,0,0,0,0,0,0,0,0,False,False,header,Maritime entity (partner)
Balance of payments item,balance of payments item,dimension_name,high,Predominantly appears as a descriptive table header.,92,92,92,0,0,0,0,0,0,0,0,0,False,False,header,Balance of payments item
Health problems,health problems,dimension_name,high,Predominantly appears as a descriptive table header.,89,89,89,0,0,0,0,0,0,0,0,0,False,False,header,Health problems
International Statistical Classification of Diseases and Related Health Problems (ICD-10 2010),international statistical classification of diseases and related health problems (icd-10 2010),dimension_name,high,Predominantly appears as a descriptive table header.,86,86,86,0,0,0,0,0,0,0,0,0,False,False,header,International Statistical Classification of Diseases and Related Health Problems (ICD-10 2010)
Classification of individual consumption by purpose (COICOP),classification of individual consumption by purpose (coicop),dimension_name,high,Predominantly appears as a descriptive table header.,85,85,85,0,0,0,0,0,0,0,0,0,False,True,header,Classification of individual consumption by purpose (COICOP)
Type of cargo,type of cargo,dimension_name,high,Predominantly appears as a descriptive table header.,82,82,82,0,0,0,0,0,0,0,0,0,False,False,header,Type of cargo
Standard international energy product classification (SIEC),standard international energy product classification (siec),dimension_name,high,Predominantly appears as a descriptive table header.,80,80,80,0,0,0,0,0,0,0,0,0,False,False,header,Standard international energy product classification (SIEC)
Household composition,household composition,dimension_name,high,Predominantly appears as a descriptive table header.,79,79,79,0,0,0,0,0,0,0,0,0,False,False,header,Household composition
Nationality of registration of vessel,nationality of registration of vessel,dimension_name,high,Predominantly appears as a descriptive table header.,79,79,79,0,0,0,0,0,0,0,0,0,False,True,header,Nationality of registration of vessel
International Standard Classification of Occupations for European Union purposes (ISCO-88 (COM)),international standard classification of occupations for european union purposes (isco-88 (com)),dimension_name,high,Predominantly appears as a descriptive table header.,78,78,78,0,0,0,0,0,0,0,0,0,False,False,header,International Standard Classification of Occupations for European Union purposes (ISCO-88 (COM))
Purpose,purpose,dimension_name,high,Predominantly appears as a descriptive table header.,76,76,76,0,0,0,0,0,0,0,0,0,False,False,header,Purpose
Classification of activities for time use,classification of activities for time use,dimension_name,high,Predominantly appears as a descriptive table header.,73,73,73,0,0,0,0,0,0,0,0,0,False,False,header,Classification of activities for time use
Airport pairs (routes),airport pairs (routes),dimension_name,high,Predominantly appears as a descriptive table header.,71,71,71,0,0,0,0,0,0,0,0,0,False,False,header,Airport pairs (routes)
