term,normalized_term,domain,domain_score,second_domain,second_domain_score,score_margin,confidence,assignment_method,matched_keywords,matched_strong_keywords,reason,table_count,total_occurrences,matched_override_rules
"Turnover from agriculture, forestry, fishing and industrial activities - million euro","turnover from agriculture, forestry, fishing and industrial activities - million euro","Agriculture, forestry and fisheries",0.676006,"Business, industry and trade",0.444585,0.231421,high,rule_override_and_tfidf,agriculture|forestry|fishing,forestry,"Best profile: Agriculture, forestry and fisheries; score=0.6760; margin=0.2314; override_rules=agriculture, forestry; keywords=agriculture, forestry, fishing; strong_keywords=forestry",5,5661,agriculture|forestry
Support for rural development number of farms agricultural area standard output SO and livestock LSU by legal status of holding and agricultural size of farm UAA,support for rural development number of farms agricultural area standard output so and livestock lsu by legal status of holding and agricultural size of farm uaa,"Agriculture, forestry and fisheries",0.627697,"Science, technology and digital society",0.020519,0.607178,high,rule_override_and_tfidf,agricultural|farm|livestock|rural,livestock,"Best profile: Agriculture, forestry and fisheries; score=0.6277; margin=0.6072; override_rules=agriculture, livestock, farm; keywords=agricultural, farm, livestock, rural; strong_keywords=livestock",1,1,agriculture|livestock|farm
Support for rural development number of farms agricultural area standard output SO and livestock LSU by legal status and economic size of farm SO in Euro,support for rural development number of farms agricultural area standard output so and livestock lsu by legal status and economic size of farm so in euro,"Agriculture, forestry and fisheries",0.618825,"Science, technology and digital society",0.021581,0.597245,high,rule_override_and_tfidf,agricultural|farm|livestock|rural,livestock,"Best profile: Agriculture, forestry and fisheries; score=0.6188; margin=0.5972; override_rules=agriculture, livestock, farm; keywords=agricultural, farm, livestock, rural; strong_keywords=livestock",1,1,agriculture|livestock|farm
Organic animal farming by utilised agricultural area livestock unit economic size of the farm and NUTS 2 regions,organic animal farming by utilised agricultural area livestock unit economic size of the farm and nuts 2 regions,"Agriculture, forestry and fisheries",0.606923,Economy and national accounts,0.014995,0.591928,high,rule_override_and_tfidf,agricultural|farm|livestock|animal,livestock,"Best profile: Agriculture, forestry and fisheries; score=0.6069; margin=0.5919; override_rules=agriculture, livestock, farm; keywords=agricultural, farm, livestock, animal; strong_keywords=livestock",1,1,agriculture|livestock|farm
Support for rural development number of farms agricultural area standard output SO and livestock LSU by age and sex of holder,support for rural development number of farms agricultural area standard output so and livestock lsu by age and sex of holder,"Agriculture, forestry and fisheries",0.556469,"Science, technology and digital society",0.023278,0.533191,high,rule_override_and_tfidf,agricultural|livestock|rural,livestock,"Best profile: Agriculture, forestry and fisheries; score=0.5565; margin=0.5332; override_rules=agriculture, livestock, farm; keywords=agricultural, livestock, rural; strong_keywords=livestock",1,1,agriculture|livestock|farm
Cattle number of farms and heads and fodder crops by agricultural size of farm UAA and livestock units LSU of farm,cattle number of farms and heads and fodder crops by agricultural size of farm uaa and livestock units lsu of farm,"Agriculture, forestry and fisheries",0.556201,Housing and construction,0.0,0.556201,high,rule_override_and_tfidf,agricultural|farm|livestock,livestock,"Best profile: Agriculture, forestry and fisheries; score=0.5562; margin=0.5562; override_rules=agriculture, livestock, crop, farm; keywords=agricultural, farm, livestock; strong_keywords=livestock",1,1,agriculture|livestock|crop|farm
Support for rural development number of farms agricultural area standard output SO and livestock LSU by legal status and type of farming 1-digit,support for rural development number of farms agricultural area standard output so and livestock lsu by legal status and type of farming 1-digit,"Agriculture, forestry and fisheries",0.549224,"Science, technology and digital society",0.02153,0.527694,high,rule_override_and_tfidf,agricultural|livestock|rural,livestock,"Best profile: Agriculture, forestry and fisheries; score=0.5492; margin=0.5277; override_rules=agriculture, livestock, farm; keywords=agricultural, livestock, rural; strong_keywords=livestock",1,1,agriculture|livestock|farm
Organic crop area by agricultural production methods and crops,organic crop area by agricultural production methods and crops,"Agriculture, forestry and fisheries",0.546157,"Business, industry and trade",0.10641,0.439747,high,rule_override_and_tfidf,agricultural|crop,agricultural production,"Best profile: Agriculture, forestry and fisheries; score=0.5462; margin=0.4397; override_rules=agriculture, crop; keywords=agricultural, crop; strong_keywords=agricultural production",1,1,agriculture|crop
Organic crop area by agricultural production methods and crops until,organic crop area by agricultural production methods and crops until,"Agriculture, forestry and fisheries",0.546157,"Business, industry and trade",0.10641,0.439747,high,rule_override_and_tfidf,agricultural|crop,agricultural production,"Best profile: Agriculture, forestry and fisheries; score=0.5462; margin=0.4397; override_rules=agriculture, crop; keywords=agricultural, crop; strong_keywords=agricultural production",1,1,agriculture|crop
Other gainful activities OGA of the farm of sole holder number of farms agricultural area standard output SO and livestock LSU by agricultural size of farm UAA,other gainful activities oga of the farm of sole holder number of farms agricultural area standard output so and livestock lsu by agricultural size of farm uaa,"Agriculture, forestry and fisheries",0.54272,Housing and construction,0.0,0.54272,high,rule_override_and_tfidf,agricultural|farm|livestock,livestock,"Best profile: Agriculture, forestry and fisheries; score=0.5427; margin=0.5427; override_rules=agriculture, livestock, farm; keywords=agricultural, farm, livestock; strong_keywords=livestock",1,1,agriculture|livestock|farm
Goods and services imports and exports,goods and services imports and exports,"Business, industry and trade",0.645318,Health,0.013684,0.631635,high,rule_override_and_tfidf,,imports|exports,"Best profile: Business, industry and trade; score=0.6453; margin=0.6316; override_rules=imports, exports; strong_keywords=imports, exports",1,1,imports|exports
Turnover and volume of sales in wholesale and retail trade - annual data,turnover and volume of sales in wholesale and retail trade - annual data,"Business, industry and trade",0.628222,Housing and construction,0.0,0.628222,high,rule_override_and_tfidf,turnover|trade|retail|wholesale,turnover,"Best profile: Business, industry and trade; score=0.6282; margin=0.6282; override_rules=turnover; keywords=turnover, trade, retail, wholesale; strong_keywords=turnover",1,1,turnover
Turnover and volume of sales in wholesale and retail trade - monthly data,turnover and volume of sales in wholesale and retail trade - monthly data,"Business, industry and trade",0.6279,Labour market,0.013023,0.614877,high,rule_override_and_tfidf,turnover|trade|retail|wholesale,turnover,"Best profile: Business, industry and trade; score=0.6279; margin=0.6149; override_rules=turnover; keywords=turnover, trade, retail, wholesale; strong_keywords=turnover",1,1,turnover
Turnover and volume of sales in wholesale and retail trade - quarterly data,turnover and volume of sales in wholesale and retail trade - quarterly data,"Business, industry and trade",0.627376,Housing and construction,0.0,0.627376,high,rule_override_and_tfidf,turnover|trade|retail|wholesale,turnover,"Best profile: Business, industry and trade; score=0.6274; margin=0.6274; override_rules=turnover; keywords=turnover, trade, retail, wholesale; strong_keywords=turnover",1,1,turnover
Multiannual enterprise statistics - Breakdown of turnover by activity type for wholesale and retail trade and repair of motor vehicles and motorcycles NACE Rev. 2 G45,multiannual enterprise statistics - breakdown of turnover by activity type for wholesale and retail trade and repair of motor vehicles and motorcycles nace rev. 2 g45,"Business, industry and trade",0.597076,Transport and mobility,0.013803,0.583273,high,rule_override_and_tfidf,enterprise|turnover|trade|retail|wholesale,turnover,"Best profile: Business, industry and trade; score=0.5971; margin=0.5833; override_rules=turnover; keywords=enterprise, turnover, trade, retail, wholesale; strong_keywords=turnover",1,1,turnover
Multiannual enterprise statistics - Breakdown of turnover by product type for wholesale and retail trade and repair of motor vehicles and motorcycles NACE Rev. 2 G45,multiannual enterprise statistics - breakdown of turnover by product type for wholesale and retail trade and repair of motor vehicles and motorcycles nace rev. 2 g45,"Business, industry and trade",0.593589,Economy and national accounts,0.017478,0.576111,high,rule_override_and_tfidf,enterprise|turnover|trade|retail|wholesale,turnover,"Best profile: Business, industry and trade; score=0.5936; margin=0.5761; override_rules=turnover; keywords=enterprise, turnover, trade, retail, wholesale; strong_keywords=turnover",1,1,turnover
Multiannual enterprise statistics - Breakdown of turnover by product type for retail trade NACE Rev. 2 G47,multiannual enterprise statistics - breakdown of turnover by product type for retail trade nace rev. 2 g47,"Business, industry and trade",0.591494,Economy and national accounts,0.022206,0.569288,high,rule_override_and_tfidf,enterprise|turnover|trade|retail,turnover,"Best profile: Business, industry and trade; score=0.5915; margin=0.5693; override_rules=turnover; keywords=enterprise, turnover, trade, retail; strong_keywords=turnover",1,1,turnover
Turnover in industry - manufacturing,turnover in industry - manufacturing,"Business, industry and trade",0.585027,Housing and construction,0.0,0.585027,high,rule_override_and_tfidf,industry|manufacturing|turnover,turnover,"Best profile: Business, industry and trade; score=0.5850; margin=0.5850; override_rules=turnover, industry, manufacturing; keywords=industry, manufacturing, turnover; strong_keywords=turnover",1,1,turnover|industry|manufacturing
Retail trade turnover - total,retail trade turnover - total,"Business, industry and trade",0.577967,Housing and construction,0.0,0.577967,high,rule_override_and_tfidf,turnover|trade|retail,turnover,"Best profile: Business, industry and trade; score=0.5780; margin=0.5780; override_rules=turnover; keywords=turnover, trade, retail; strong_keywords=turnover",1,1,turnover
Retail trade turnover - non food,retail trade turnover - non food,"Business, industry and trade",0.559712,"Agriculture, forestry and fisheries",0.030333,0.529379,high,rule_override_and_tfidf,turnover|trade|retail,turnover,"Best profile: Business, industry and trade; score=0.5597; margin=0.5294; override_rules=turnover; keywords=turnover, trade, retail; strong_keywords=turnover",1,1,turnover
General government total expenditure on law courts,general government total expenditure on law courts,"Crime, justice and safety",0.359175,Government and public finance,0.152322,0.206853,high,rule_override_and_tfidf,,law courts,"Best profile: Crime, justice and safety; score=0.3592; margin=0.2069; override_rules=law court; strong_keywords=law courts",1,1,law court
Personnel in the criminal justice system by sex,personnel in the criminal justice system by sex,"Crime, justice and safety",0.333709,Housing and construction,0.0,0.333709,medium,tfidf_and_keywords,criminal|justice,,"Best profile: Crime, justice and safety; score=0.3337; margin=0.3337; keywords=criminal, justice",1,1,
Crime violence or vandalism in the area by degree of urbanisation,crime violence or vandalism in the area by degree of urbanisation,"Crime, justice and safety",0.329198,Housing and construction,0.0,0.329198,high,rule_override_and_tfidf,crime|violence,,"Best profile: Crime, justice and safety; score=0.3292; margin=0.3292; override_rules=violence, crime; keywords=crime, violence",1,1,violence|crime
Crime violence or vandalism in the area - EU-SILC survey,crime violence or vandalism in the area - eu-silc survey,"Crime, justice and safety",0.323862,Housing and construction,0.0,0.323862,high,rule_override_and_tfidf,crime|violence,,"Best profile: Crime, justice and safety; score=0.3239; margin=0.3239; override_rules=violence, crime; keywords=crime, violence",1,1,violence|crime
Victims in road accidents by NUTS 2 regions,victims in road accidents by nuts 2 regions,"Crime, justice and safety",0.314604,Transport and mobility,0.144954,0.169649,high,rule_override_and_tfidf,,road accidents,"Best profile: Crime, justice and safety; score=0.3146; margin=0.1696; override_rules=victim; strong_keywords=road accidents",1,1,victim
Crime violence or vandalism in the area by level of disability activity limitation sex and age,crime violence or vandalism in the area by level of disability activity limitation sex and age,"Crime, justice and safety",0.309863,Health,0.092884,0.216979,high,rule_override_and_tfidf,crime|violence,,"Best profile: Crime, justice and safety; score=0.3099; margin=0.2170; override_rules=violence, crime; keywords=crime, violence",1,1,violence|crime
Persons brought before criminal courts by legal status of the court process,persons brought before criminal courts by legal status of the court process,"Crime, justice and safety",0.293996,Health,0.007737,0.286259,medium,tfidf_and_keywords,criminal|court,,"Best profile: Crime, justice and safety; score=0.2940; margin=0.2863; keywords=criminal, court",1,1,
Population reporting occurrence of crime violence or vandalism in their area by poverty status,population reporting occurrence of crime violence or vandalism in their area by poverty status,"Crime, justice and safety",0.292102,"Income, poverty and living conditions",0.104534,0.187569,high,rule_override_and_tfidf,crime|violence,,"Best profile: Crime, justice and safety; score=0.2921; margin=0.1876; override_rules=violence, crime; keywords=crime, violence",1,1,violence|crime
Crimes recorded by the police by by offence category,crimes recorded by the police by by offence category,"Crime, justice and safety",0.277391,Housing and construction,0.0,0.277391,medium,tfidf_and_keywords,police|offence,,"Best profile: Crime, justice and safety; score=0.2774; margin=0.2774; keywords=police, offence",1,1,
Police-recorded offences by offence category,police-recorded offences by offence category,"Crime, justice and safety",0.27488,Housing and construction,0.0,0.27488,medium,tfidf_and_keywords,police|offence,,"Best profile: Crime, justice and safety; score=0.2749; margin=0.2749; keywords=police, offence",3,3,
Business churn: birth rate + death rate - percentage,business churn: birth rate + death rate - percentage,Demography and population,0.788219,"Business, industry and trade",0.114949,0.67327,high,rule_override_and_tfidf,birth|death,birth rate|death rate,"Best profile: Demography and population; score=0.7882; margin=0.6733; override_rules=birth rate; keywords=birth, death; strong_keywords=birth rate, death rate",21,195923,birth rate
Life expectancy at birth,life expectancy at birth,Demography and population,0.657699,"Income, poverty and living conditions",0.048177,0.609523,high,rule_override_and_tfidf,birth|life expectancy,life expectancy,"Best profile: Demography and population; score=0.6577; margin=0.6095; override_rules=life expectancy; keywords=birth, life expectancy; strong_keywords=life expectancy",1,21,life expectancy
Life expectancy at birth by sex,life expectancy at birth by sex,Demography and population,0.61841,"Income, poverty and living conditions",0.04136,0.577049,high,rule_override_and_tfidf,birth|life expectancy,life expectancy,"Best profile: Demography and population; score=0.6184; margin=0.5770; override_rules=life expectancy; keywords=birth, life expectancy; strong_keywords=life expectancy",3,3,life expectancy
Life expectancy in absolute value at birth,life expectancy in absolute value at birth,Demography and population,0.588715,"Income, poverty and living conditions",0.036209,0.552506,high,rule_override_and_tfidf,birth|life expectancy,life expectancy,"Best profile: Demography and population; score=0.5887; margin=0.5525; override_rules=life expectancy; keywords=birth, life expectancy; strong_keywords=life expectancy",2,163,life expectancy
Life expectancy at birth by sex and NUTS 2 region,life expectancy at birth by sex and nuts 2 region,Demography and population,0.578948,"Income, poverty and living conditions",0.034514,0.544434,high,rule_override_and_tfidf,birth|life expectancy,life expectancy,"Best profile: Demography and population; score=0.5789; margin=0.5444; override_rules=life expectancy; keywords=birth, life expectancy; strong_keywords=life expectancy",1,1,life expectancy
Healthy life years at birth in percentage of the total life expectancy,healthy life years at birth in percentage of the total life expectancy,Demography and population,0.567342,"Income, poverty and living conditions",0.04771,0.519632,high,rule_override_and_tfidf,birth|life expectancy,life expectancy,"Best profile: Demography and population; score=0.5673; margin=0.5196; override_rules=life expectancy; keywords=birth, life expectancy; strong_keywords=life expectancy",2,132,life expectancy
Life expectancy in absolute value at birth - males,life expectancy in absolute value at birth - males,Demography and population,0.562383,"Income, poverty and living conditions",0.031641,0.530742,high,rule_override_and_tfidf,birth|life expectancy,life expectancy,"Best profile: Demography and population; score=0.5624; margin=0.5307; override_rules=life expectancy; keywords=birth, life expectancy; strong_keywords=life expectancy",1,33,life expectancy
Life expectancy in absolute value at birth - females,life expectancy in absolute value at birth - females,Demography and population,0.562327,"Income, poverty and living conditions",0.031631,0.530696,high,rule_override_and_tfidf,birth|life expectancy,life expectancy,"Best profile: Demography and population; score=0.5623; margin=0.5307; override_rules=life expectancy; keywords=birth, life expectancy; strong_keywords=life expectancy",1,33,life expectancy
Healthy life years at birth in percentage of the total life expectancy - males,healthy life years at birth in percentage of the total life expectancy - males,Demography and population,0.551917,"Income, poverty and living conditions",0.043781,0.508136,high,rule_override_and_tfidf,birth|life expectancy,life expectancy,"Best profile: Demography and population; score=0.5519; margin=0.5081; override_rules=life expectancy; keywords=birth, life expectancy; strong_keywords=life expectancy",1,21,life expectancy
Healthy life years at birth in percentage of the total life expectancy - females,healthy life years at birth in percentage of the total life expectancy - females,Demography and population,0.551882,"Income, poverty and living conditions",0.043772,0.508109,high,rule_override_and_tfidf,birth|life expectancy,life expectancy,"Best profile: Demography and population; score=0.5519; margin=0.5081; override_rules=life expectancy; keywords=birth, life expectancy; strong_keywords=life expectancy",1,21,life expectancy
Gross domestic product GDP and Gross value added GVA in volume by NUTS 2 regions,gross domestic product gdp and gross value added gva in volume by nuts 2 regions,Economy and national accounts,0.964744,"Crime, justice and safety",0.013439,0.951305,high,rule_override_and_tfidf,gdp|gross domestic product|value added,gross domestic product|gdp,"Best profile: Economy and national accounts; score=0.9647; margin=0.9513; override_rules=GDP, gross domestic product, gross value added; keywords=gdp, gross domestic product, value added; strong_keywords=gross domestic product, gdp",1,1,GDP|gross domestic product|gross value added
Gross domestic product GDP at current market prices by other typologies,gross domestic product gdp at current market prices by other typologies,Economy and national accounts,0.851309,Housing and construction,0.023355,0.827954,high,rule_override_and_tfidf,gdp|gross domestic product,gross domestic product|gdp,"Best profile: Economy and national accounts; score=0.8513; margin=0.8280; override_rules=GDP, gross domestic product; keywords=gdp, gross domestic product; strong_keywords=gross domestic product, gdp",2,2,GDP|gross domestic product
Gross domestic product GDP at current market prices by NUTS 3 regions,gross domestic product gdp at current market prices by nuts 3 regions,Economy and national accounts,0.850433,Housing and construction,0.023274,0.827159,high,rule_override_and_tfidf,gdp|gross domestic product,gross domestic product|gdp,"Best profile: Economy and national accounts; score=0.8504; margin=0.8272; override_rules=GDP, gross domestic product; keywords=gdp, gross domestic product; strong_keywords=gross domestic product, gdp",2,2,GDP|gross domestic product
Gross domestic product GDP at current market prices by NUTS 2 regions,gross domestic product gdp at current market prices by nuts 2 regions,Economy and national accounts,0.850433,Housing and construction,0.023274,0.827159,high,rule_override_and_tfidf,gdp|gross domestic product,gross domestic product|gdp,"Best profile: Economy and national accounts; score=0.8504; margin=0.8272; override_rules=GDP, gross domestic product; keywords=gdp, gross domestic product; strong_keywords=gross domestic product, gdp",1,1,GDP|gross domestic product
