term,normalized_term,category,confidence,reason,table_count,total_occurrences,header_table_count,title_table_count,cell_table_count,unit_context_table_count,measure_context_table_count,generic_context_table_count,unit_only_table_count,measure_only_table_count,generic_only_table_count,mixed_context_table_count,unit_lexical_match,measure_lexical_match,sources,columns
Total,total,measure,high,Matches a measure pattern and appears in a statistical-indicator column.,4651,267420779,0,0,4651,8,32,4638,6,7,4611,27,False,True,cell,"Accident|Activity and employment status|Age class|Age of the child|Agreement on CVT (continuing vocational training)|Agricultural area|Aircraft|Aircraft category|Amenities|Animal housing|Applicant type|Aquatic environment|Arable land area|Area|Area under corresponding crop|Assistance|At risk of poverty - Yes/No|At risk of poverty or social exclusion - Yes/No|Barriers|Basic classes of goods in the System of National Accounts (SNA) in terms of Broad Economic Categories (BEC)|Body Mass Index|Border|Business partner|Capacity of the hatchery in number of eggs|Care responsibility|Categories of navigable inland waterways by horizontal dimensions of vessels and pushed convoys|Category of persons|Category of voters|Cause of health problem or disability|Change|Childcare services|Class of area under vines|Classification of activities for time use|Classification of individual consumption by purpose (COICOP)|Classification of individual consumption by purpose (COICOP) - 2018|Classification of the functions of government (COFOG 1999)|Client specialisation|Client/Trader|Collective pay agreement|Commuting|Contact - mode of injury|Control over working time|Costs|Counterpart sector|Country of birth of father|Country of birth of mother|Country of birth of parents|Country of citizenship|Country of destination|Country of education|Country of residence|Country/region of birth|Credit institutions|Cross border trade|Crude oil type|Cultural products|Dangerous goods|Decision|Degree of urbanisation|Destination|Deviation|Diagnosis|Direction of flow|Distance|Duration|Earnings structure|Economic size classes of holdings in European Size Unit (ESU)|Education indicator|Education or training field|Effects|Effects on employment|Employment indicator|Engine capacity of vehicle|Engine power|Enterprise|Entity|European Socio-economic groups|Expenditure and investment|Expenditure quantile|Experience|Family/household status|Farm type|Fields of research and development classification|Financial source|Fish destination and use|Fishing gears|Frequency|Frequency of working at other locations|Frequency of working under time pressure|Fruit species and groups of varieties|Generation technologies|Geopolitical entity (partner)|Geopolitical entity (reporting)|Groups of goods based on NST/R chapters|Health care|Health problems|Heat pumps technologies|Hiring plan|Household composition|ISCED Fields of education and training (ISCED-F 2013)|Income quantile|Income situation in relation to the risk of poverty threshold|Indicator|Industries and accounting items|Industries and final uses|Industries, adjustments and value added|Industries, imports and valuations|Innovation activities|Innovation developer|Innovation profile|International Standard Classification of Occupations 2008 (ISCO-08)|International Standard Classification of Occupations for European Union purposes (ISCO-88 (COM))|International Statistical Classification of Diseases and Related Health Problems (ICD-10 2010)|International classification of crime for statistical purposes (ICCS)|Internet booking - Yes/No|Irrigated area|Job autonomy|Job creation, losses and mobility|Kind of business partners|Language|Legal form|Legal form and holder-manager relationship|Legal form: Single holder: Y/N|Legal framework|Legal provision|Legal type of the holding|Length|Length of service|Level|Level of activity limitation|Level of deprivation|Level of difficulty|Level of expenditure|Level of impact|Level of importance|Level of job matching|Level of knowledge|Level of repetitiveness|Level of satisfaction|Location of partner|Main expenditure type|Main source of income|Marital status|Marital status (of bride)|Maritime entity (partner)|Market place|Material agent|Materials|Means of goods and services supply|Means testing|Media|Medical speciality|Method used for finding work|Migration status|Mobility|Modalities of the variable for the ad-hoc module|Mode of accommodation|Mode of supply|Mode of transport|Monetary value by size class|Month|Motor energy|National accounts indicator (ESA 2010)|Nationality of registration of vessel|Number of children|Number of heads|Number of jobs|Number of tracks|Objective zones (CAP)|Operator/Trader|Organic farming|Other gainful activity of the holder|Other gainful activity of the spouse|Overburden - Yes/No|Part of body injured|Participation|Patenting and co-patenting|Pension type|Pesticide groups|Place of apprehension|Place of origin|Place of residence|Place of work|Planning of CVT (continuing vocational training) in enterprises|Plantation density|Power asymmetry|Preferred employment status|Products and final uses|Products, adjustments and market output|Products, adjustments and value added|Professional position|Purchases|Purpose|Quantile|R&D activities|Rail track gauge|Railway activities|Ranking|Raw materials|Reason|Reason for retirement|Receipt type|Recording|Risk of poverty threshold|Sea basins|Sector|Seniority category|Severity (days lost)|Sex|Share of arable land with crop rotation|Share of family farming labour force|Share of fodder area in utilised agricultural area|Share of income|Size|Size classes in gross tonnage|Size classes in number of employees|Size classes in number of members|Size classes in number of persons employed|Size classes in percentage|Size classes of total livestock units (LSU)|Size of accommodation by number of bedplaces|Size of tourism establishments by number of rooms|Smoking behaviour|Sourcing activity|Specific physical activity|Sport products|Standard international energy product classification (SIEC)|Standard output in Euros|Statistical Classification of Products by Activity (CPA 2.1)|Statistical Classification of Products by Activity in the European Economic Community, 2002|Statistical information|Stock or flow|Survey answer - Yes/No|Tenure status|Territorial typology|Traffic and transport measurement|Train category|Training|Transport infrastructure|Trip arrangement|Type of building|Type of cargo|Type of consignment|Type of contribution recipient|Type of current|Type of employment contract|Type of employment sought|Type of funding|Type of goods and services|Type of household|Type of injury|Type of innovation|Type of issuer|Type of leave|Type of level crossing|Type of mortality|Type of network|Type of ownership|Type of plant|Type of return|Type of schedule|Type of sea shipping|Type of seat/berth|Type of transport|Type of vessel|Type of victim|Type of withdrawal|Unit of measure|Utilised agricultural area|Vehicles|Volume|Water process|Water sources|Wealth quantile|Weight|Willingness to work|Work experience during studies|Work intensity|Working environment|Working process|Working status after the accident|Working status within households|Working time|Working time flexibility|Working time on specific task|Workstation|Year of arrival|Year of birth|Year of construction|age|agechild|agrarea|aquaenv|citizen|deg_urb|diagnose|distance|expernce|hhcomp|hhtyp|incgrp|isced11|isced97|isco08|lev_limit|n_activ|n_child|n_client|n_head|n_hprob|n_injury|n_item|n_job|n_lang|n_partner|n_person|n_room|n_tracks|n_vehicl|n_vessel|nace_r1|nace_r2|nstr24|ord_brth|parity|partner|quant_inc|rskpovth|severity|size_emp|sizeclas|so_eur|src_learn|tra_cov|typpack|yn_arope"
Enterprises - number,enterprises - number,measure,high,Predominantly appears exclusively in statistical measure columns.,143,1382059,0,0,143,0,143,0,0,143,0,0,False,False,cell,Economical indicator for structural business statistics
Gross earnings,gross earnings,measure,high,Predominantly appears exclusively in statistical measure columns.,119,6186599,0,0,119,0,119,0,0,119,0,0,False,False,cell,Structure of earnings indicator
Train traffic on the rail network,train traffic on the rail network,measure,medium,Appears only in residual statistical table titles.,109,109,0,109,0,0,0,0,0,0,0,0,False,False,title,title
Turnover or gross premiums written - million euro,turnover or gross premiums written - million euro,measure,high,Matches a measure pattern and appears in a statistical-indicator column.,80,765203,0,0,80,0,80,0,0,80,0,0,True,True,cell,Economical indicator for structural business statistics
Overtime pay,overtime pay,measure,high,Predominantly appears exclusively in statistical measure columns.,78,4070538,0,0,78,0,78,0,0,78,0,0,False,False,cell,Structure of earnings indicator
Overtime pay as a percentage of earnings,overtime pay as a percentage of earnings,measure,high,Matches a measure pattern and appears in a statistical-indicator column.,78,1643468,0,0,78,0,78,0,0,78,0,0,True,True,cell,Structure of earnings indicator
Persons employed - number,persons employed - number,measure,high,Predominantly appears exclusively in statistical measure columns.,77,1117588,0,0,77,0,77,0,0,77,0,0,False,False,cell,Economical indicator for structural business statistics
Value added at factor cost - million euro,value added at factor cost - million euro,measure,high,Matches a measure pattern and appears in a statistical-indicator column.,58,714280,0,0,58,0,58,0,0,58,0,0,True,True,cell,Economical indicator for structural business statistics
Average,average,measure,high,Matches a measure pattern and appears in a statistical-indicator column.,52,326699,0,0,52,17,35,0,17,35,0,0,False,True,cell,Statistical information|Unit of measure
