term,normalized_term,category,confidence,reason,table_count,total_occurrences,header_table_count,title_table_count,cell_table_count,unit_context_table_count,measure_context_table_count,generic_context_table_count,unit_only_table_count,measure_only_table_count,generic_only_table_count,mixed_context_table_count,unit_lexical_match,measure_lexical_match,sources,columns
Percentage,percentage,unit,high,Matches a unit pattern and appears exclusively in unit columns.,2086,45206175,0,0,2086,2086,0,0,2086,0,0,0,True,False,cell,Currency|Unit of measure
Number,number,unit,high,Predominantly appears exclusively in unit columns.,1229,100570774,0,0,1229,1229,0,0,1229,0,0,0,False,False,cell,Unit of measure
Thousand persons,thousand persons,unit,high,Predominantly appears exclusively in unit columns.,509,36497108,0,0,509,509,0,0,509,0,0,0,False,False,cell,Unit of measure
Euro,euro,unit,high,Matches a unit pattern and appears exclusively in unit columns.,319,12214087,0,0,319,319,0,0,319,0,0,0,True,False,cell,Currency|Unit of measure
Thousand tonnes,thousand tonnes,unit,high,Matches a unit pattern and appears exclusively in unit columns.,289,23523121,0,0,289,289,0,0,289,0,0,0,True,False,cell,Unit of measure
Million euro,million euro,unit,high,Matches a unit pattern and appears exclusively in unit columns.,232,15362808,0,0,232,232,0,0,232,0,0,0,True,False,cell,Currency|Unit of measure
Million units of national currency,million units of national currency,unit,high,Matches a unit pattern and appears exclusively in unit columns.,214,6671830,0,0,214,214,0,0,214,0,0,0,True,False,cell,Currency|Unit of measure
Thousand,thousand,unit,high,Predominantly appears exclusively in unit columns.,196,867347,0,0,196,196,0,0,196,0,0,0,False,False,cell,Unit of measure
Percentage of gross domestic product (GDP),percentage of gross domestic product (gdp),unit,high,Matches a unit pattern and appears exclusively in unit columns.,195,1347536,0,0,195,195,0,0,195,0,0,0,True,True,cell,Unit of measure
Person,person,unit,high,Predominantly appears exclusively in unit columns.,185,41584746,0,0,185,185,0,0,185,0,0,0,False,False,cell,Unit of measure
Rate,rate,unit,high,Predominantly appears exclusively in unit columns.,175,12610330,0,0,175,175,0,0,175,0,0,0,False,True,cell,Unit of measure
National currency,national currency,unit,high,Matches a unit pattern and appears exclusively in unit columns.,142,3644363,0,0,142,142,0,0,142,0,0,0,True,False,cell,Currency|Unit of measure
"Index, 2015=100","index, 2015=100",unit,high,Matches a unit pattern and appears exclusively in unit columns.,138,327652,0,0,138,138,0,0,138,0,0,0,True,False,cell,Unit of measure
Purchasing power standard (PPS),purchasing power standard (pps),unit,high,Matches a unit pattern and appears exclusively in unit columns.,123,2943702,0,0,123,123,0,0,123,0,0,0,True,False,cell,Unit of measure
Percentage of individuals,percentage of individuals,unit,high,Matches a unit pattern and appears exclusively in unit columns.,116,3159867,0,0,116,116,0,0,116,0,0,0,True,True,cell,Unit of measure
Percentage change on previous period,percentage change on previous period,unit,high,Matches a unit pattern and appears exclusively in unit columns.,97,510937,0,0,97,97,0,0,97,0,0,0,True,False,cell,Unit of measure
Percentage of total population,percentage of total population,unit,high,Matches a unit pattern and appears exclusively in unit columns.,94,280979,0,0,94,94,0,0,94,0,0,0,True,True,cell,Unit of measure
Tonne,tonne,unit,high,Matches a unit pattern and appears exclusively in unit columns.,93,2062662,0,0,93,93,0,0,93,0,0,0,True,False,cell,Unit of measure
Flight,flight,unit,high,Predominantly appears exclusively in unit columns.,92,1359052,0,0,92,92,0,0,92,0,0,0,False,False,cell,Unit of measure
Percentage change compared to same period in previous year,percentage change compared to same period in previous year,unit,high,Matches a unit pattern and appears exclusively in unit columns.,91,220040,0,0,91,91,0,0,91,0,0,0,True,False,cell,Unit of measure
