domain,precision,recall,f1_score,support
Demography and population,1.0,0.8333333333333334,0.9090909090909091,6
Labour market,1.0,1.0,1.0,5
Economy and national accounts,0.8,0.6666666666666666,0.7272727272727273,6
"Business, industry and trade",0.8,1.0,0.8888888888888888,4
"Agriculture, forestry and fisheries",1.0,0.7142857142857143,0.8333333333333334,7
Environment and climate,0.8,0.8,0.8,5
Energy,0.6,1.0,0.75,3
Transport and mobility,1.0,0.8333333333333334,0.9090909090909091,6
Health,1.0,0.8333333333333334,0.9090909090909091,6
Education and training,1.0,0.8333333333333334,0.9090909090909091,6
"Science, technology and digital society",0.8,0.8,0.8,5
"Income, poverty and living conditions",1.0,0.7142857142857143,0.8333333333333334,7
Government and public finance,1.0,1.0,1.0,5
"Crime, justice and safety",0.8,1.0,0.8888888888888888,4
Tourism,1.0,1.0,1.0,5
Housing and construction,0.8,1.0,0.8888888888888888,4
Other or multidisciplinary,0.2,1.0,0.3333333333333333,1
