term,normalized_term,domain,domain_score,second_domain,second_domain_score,score_margin,confidence,assignment_method,matched_keywords,matched_strong_keywords,reason,table_count,total_occurrences,matched_override_rules
Crop production,crop production,"Agriculture, forestry and fisheries",0.542363,"Business, industry and trade",0.138901,0.403462,high,rule_override_and_tfidf,crop,crop production,"Best profile: Agriculture, forestry and fisheries; score=0.5424; margin=0.4035; override_rules=crop; keywords=crop; strong_keywords=crop production",3,4,crop
Agricultural holdings with livestock,agricultural holdings with livestock,"Agriculture, forestry and fisheries",0.536104,Housing and construction,0.0,0.536104,high,rule_override_and_tfidf,agricultural|livestock,livestock,"Best profile: Agriculture, forestry and fisheries; score=0.5361; margin=0.5361; override_rules=agriculture, livestock; keywords=agricultural, livestock; strong_keywords=livestock",1,1,agriculture|livestock
Livestock,livestock,"Agriculture, forestry and fisheries",0.510638,Housing and construction,0.0,0.510638,high,rule_override_and_tfidf,livestock,livestock,"Best profile: Agriculture, forestry and fisheries; score=0.5106; margin=0.5106; override_rules=livestock; keywords=livestock; strong_keywords=livestock",2,2,livestock
Producer price indices total agricultural production,producer price indices total agricultural production,"Agriculture, forestry and fisheries",0.438568,"Business, industry and trade",0.111299,0.327268,high,rule_override_and_tfidf,agricultural,agricultural production,"Best profile: Agriculture, forestry and fisheries; score=0.4386; margin=0.3273; override_rules=agriculture; keywords=agricultural; strong_keywords=agricultural production",1,1,agriculture
Purchase price indices total means of agricultural production,purchase price indices total means of agricultural production,"Agriculture, forestry and fisheries",0.421503,"Business, industry and trade",0.107445,0.314058,high,rule_override_and_tfidf,agricultural,agricultural production,"Best profile: Agriculture, forestry and fisheries; score=0.4215; margin=0.3141; override_rules=agriculture; keywords=agricultural; strong_keywords=agricultural production",1,1,agriculture
Weights of purchase prices of the means of agricultural production - survey,weights of purchase prices of the means of agricultural production - survey,"Agriculture, forestry and fisheries",0.4199,"Business, industry and trade",0.107083,0.312817,high,rule_override_and_tfidf,agricultural,agricultural production,"Best profile: Agriculture, forestry and fisheries; score=0.4199; margin=0.3128; override_rules=agriculture; keywords=agricultural; strong_keywords=agricultural production",1,1,agriculture
Livestock density index,livestock density index,"Agriculture, forestry and fisheries",0.393333,Economy and national accounts,0.034588,0.358745,high,rule_override_and_tfidf,livestock,livestock,"Best profile: Agriculture, forestry and fisheries; score=0.3933; margin=0.3587; override_rules=livestock; keywords=livestock; strong_keywords=livestock",1,1,livestock
Livestock in number of heads,livestock in number of heads,"Agriculture, forestry and fisheries",0.39209,Housing and construction,0.0,0.39209,high,rule_override_and_tfidf,livestock,livestock,"Best profile: Agriculture, forestry and fisheries; score=0.3921; margin=0.3921; override_rules=livestock; keywords=livestock; strong_keywords=livestock",1,1,livestock
Annual work units in forestry and logging,annual work units in forestry and logging,"Agriculture, forestry and fisheries",0.388628,Housing and construction,0.0,0.388628,high,rule_override_and_tfidf,forestry,forestry,"Best profile: Agriculture, forestry and fisheries; score=0.3886; margin=0.3886; override_rules=forestry; keywords=forestry; strong_keywords=forestry",1,1,forestry
Main farm land use,main farm land use,"Agriculture, forestry and fisheries",0.295979,"Science, technology and digital society",0.035657,0.260321,high,rule_override_and_tfidf,farm|land use,,"Best profile: Agriculture, forestry and fisheries; score=0.2960; margin=0.2603; override_rules=farm; keywords=farm, land use",2,2,farm
Annual production and utilisation of milk on the farm,annual production and utilisation of milk on the farm,"Agriculture, forestry and fisheries",0.257864,"Business, industry and trade",0.111008,0.146855,high,rule_override_and_tfidf,farm|milk,,"Best profile: Agriculture, forestry and fisheries; score=0.2579; margin=0.1469; override_rules=farm; keywords=farm, milk",1,1,farm
