term,normalized_term,category,confidence,reason,table_count,total_occurrences,header_table_count,title_table_count,cell_table_count,unit_context_table_count,measure_context_table_count,generic_context_table_count,unit_only_table_count,measure_only_table_count,generic_only_table_count,mixed_context_table_count,unit_lexical_match,measure_lexical_match,sources,columns
Percentage,percentage,unit,high,Matches a unit pattern and appears exclusively in unit columns.,555,110931,0,0,555,555,0,1,554,0,0,1,True,False,cell,Categorisation of active substances for harmonised risk indicator|Geopolitical entity (reporting)|Unit of measure
Number,number,unit,high,Predominantly appears exclusively in unit columns.,268,57251,0,0,268,268,0,1,267,0,0,1,False,False,cell,Categorisation of active substances for harmonised risk indicator|Geopolitical entity (reporting)|Unit of measure
Percentage of gross domestic product (GDP),percentage of gross domestic product (gdp),unit,high,Matches a unit pattern and appears exclusively in unit columns.,72,3134,0,0,72,71,0,1,71,0,1,0,True,True,cell,Categorisation of active substances for harmonised risk indicator|Unit of measure
Thousand tonnes,thousand tonnes,unit,high,Matches a unit pattern and appears exclusively in unit columns.,67,3521,0,0,67,67,0,1,66,0,0,1,True,False,cell,Categorisation of active substances for harmonised risk indicator|Unit of measure
Rate,rate,unit,high,Predominantly appears exclusively in unit columns.,58,6880,0,0,58,58,0,1,57,0,0,1,False,True,cell,Categorisation of active substances for harmonised risk indicator|Unit of measure
Euro,euro,unit,high,Matches a unit pattern and appears exclusively in unit columns.,53,11343,0,0,53,53,0,1,52,0,0,1,True,False,cell,Categorisation of active substances for harmonised risk indicator|Currency|Geopolitical entity (reporting)|Unit of measure
Thousand,thousand,unit,high,Predominantly appears exclusively in unit columns.,51,7742,0,0,51,51,0,1,50,0,0,1,False,False,cell,Categorisation of active substances for harmonised risk indicator|Geopolitical entity (reporting)|Unit of measure
Million euro,million euro,unit,high,Matches a unit pattern and appears exclusively in unit columns.,45,2821,0,0,45,45,0,1,44,0,0,1,True,False,cell,Categorisation of active substances for harmonised risk indicator|Currency|Geopolitical entity (reporting)|Unit of measure
"Index, 2015=100","index, 2015=100",unit,high,Matches a unit pattern and appears exclusively in unit columns.,40,1448,0,0,40,39,0,1,39,0,1,0,True,False,cell,Categorisation of active substances for harmonised risk indicator|Unit of measure
Million units of national currency,million units of national currency,unit,high,Matches a unit pattern and appears exclusively in unit columns.,31,1577,0,0,31,30,0,1,30,0,1,0,True,False,cell,Categorisation of active substances for harmonised risk indicator|Currency|Unit of measure
